"Brand_Reg","Count"
"Sylvox",31
"Konka",32
"Akai",36
"Aiwa",38
"Toshiba",56
"Panasonic",88
"Linsar",46
"Bauhn",66
"Philips",102
"Sony",97
"Lg",586
"Samsung",420
"Kogan",192
"Chiq",55
"Jvc",101
"Tcl",124
"Hisense",129
"Blaupunkt",116
"Eko",174
"Veon",97
